iter	Passed	Remaining
0	183	183075
1	194	97149
2	206	68466
3	217	54186
4	228	45376
5	238	39533
6	248	35320
7	260	32347
8	271	29920
9	282	27956
10	293	26401
11	304	25063
12	315	23932
13	326	23010
14	337	22137
15	351	21619
16	362	20962
17	373	20354
18	384	19845
19	394	19351
20	419	19573
21	433	19257
22	444	18901
23	455	18516
24	466	18212
25	478	17919
26	490	17670
27	505	17553
28	516	17294
29	527	17046
30	538	16836
31	549	16629
32	560	16428
33	571	16250
34	582	16059
35	593	15896
36	604	15736
37	615	15576
38	627	15458
39	640	15372
40	652	15267
41	668	15245
42	679	15115
43	689	14989
44	701	14881
45	711	14765
46	722	14649
47	733	14553
48	749	14554
49	766	14564
50	793	14774
51	815	14864
52	829	14827
53	852	14928
54	869	14940
55	880	14846
56	891	14744
57	902	14654
58	913	14563
59	923	14467
60	943	14523
61	957	14485
62	972	14461
63	988	14463
64	1016	14627
65	1034	14638
66	1098	15291
67	1159	15885
68	1251	16885
69	1283	17058
70	1303	17053
71	1321	17035
72	1340	17026
73	1360	17030
74	1371	16918
75	1383	16820
76	1396	16742
77	1408	16650
78	1421	16575
79	1433	16483
80	1444	16383
81	1455	16294
82	1466	16200
83	1479	16130
84	1489	16036
85	1504	15988
86	1515	15900
87	1527	15830
88	1541	15781
89	1552	15696
90	1567	15656
91	1578	15579
92	1589	15500
93	1602	15445
94	1615	15386
95	1626	15319
96	1637	15245
97	1648	15171
98	1663	15135
99	1675	15077
100	1688	15025
101	1699	14966
102	1713	14924
103	1726	14872
104	1743	14859
105	1754	14798
106	1769	14764
107	1784	14741
108	1800	14717
109	1811	14656
110	1822	14598
111	1834	14542
112	1845	14487
113	1858	14443
114	1869	14384
115	1880	14329
116	1893	14288
117	1907	14254
118	1919	14213
119	1933	14176
120	1945	14132
121	1955	14074
122	1967	14031
123	1979	13981
124	1990	13930
125	2004	13907
126	2017	13868
127	2030	13833
128	2041	13783
129	2052	13736
130	2064	13693
131	2074	13643
132	2085	13597
133	2097	13555
134	2109	13513
135	2119	13464
136	2131	13425
137	2144	13396
138	2156	13356
139	2167	13312
140	2177	13268
141	2189	13228
142	2199	13183
143	2212	13151
144	2223	13113
145	2234	13069
146	2246	13034
147	2256	12992
148	2268	12956
149	2282	12934
150	2296	12914
151	2307	12874
152	2319	12839
153	2329	12798
154	2340	12760
155	2351	12723
156	2362	12683
157	2374	12651
158	2384	12614
159	2395	12577
160	2406	12541
161	2417	12505
162	2430	12479
163	2444	12463
164	2455	12425
165	2466	12392
166	2477	12356
167	2488	12324
168	2499	12288
169	2518	12294
170	2534	12286
171	2545	12255
172	2556	12220
173	2567	12189
174	2578	12154
175	2594	12147
176	2608	12127
177	2620	12101
178	2631	12071
179	2643	12042
180	2654	12011
181	2665	11980
182	2680	11966
183	2693	11943
184	2704	11912
185	2716	11887
186	2730	11871
187	2741	11842
188	2752	11811
189	2763	11781
190	2775	11754
191	2787	11731
192	2799	11703
193	2810	11678
194	2821	11648
195	2832	11620
196	2843	11591
197	2854	11563
198	2865	11535
199	2880	11523
200	2892	11497
201	2903	11470
202	2914	11442
203	2926	11418
204	2937	11391
205	2949	11366
